OBJECTID,BASE_NAME,BRANCH,CREATION_DATE,DEMOLITION_DATE,FACILITY_CODE,PERIMETER_KM,AREA_METERS2
1,Naha Air Force and Navy Auxiliary Facilities,Air Force & Navy,1945-01-01,1980-01-01,FAC 6066,10.732,4159.975
2,Kadena Airbase,Air Force,1945-01-01,,FAC 6037,27.316,24770.225
3,Okuma Recreational Area,Air Force,1947-01-01,,FAC 6004,4.572,625.359
4,Senaha Communication Site,Air Force,1945-01-01,2006-01-01,FAC 6021,5.078,758.148
5,Kobi Sho Range (Air Force administration),Air Force,1948-01-01,1956-01-01,FAC 6084,3.816,1025.598
6,Yaedake Communication Site,Air Force,1950-01-01,,FAC 6006,0.862,20.865
7,Irisuna Jima Firing Range,Air Force,1954-01-01,,FAC 6078,2.365,324.023
8,Kume Jima Range,Air Force,1978-01-01,,FAC 6080,0.214,2.75
9,Tori Shima Firing Range,Air Force,1951-01-01,,FAC 6077,1.059,28.011
10,Machinato Housing Area,Air Force,1977-02-28,1987-01-01,FAC 6061,6.725,2702.967
11,Naha Freezer Warehouse,Air Force,1978-03-15,1993-01-01,FAC 6062,1.539,130.953
12,Bolo Airfield,Air Force,1945-01-01,1972-01-01,FAC 6021,14.408,4449.177
13,Bolo Point Shooting Range Nike Hercules Site 1,Air Force,1945-01-01,1974-01-01,FAC 6021,1.036,47.352
14,Bolo Point Shooting Range Kadena 1st Site Mace B,Air Force,1945-01-01,1974-06-30,FAC 6021,0.763,35.623
15,Sunabe Warehouse,Air Force,1967-01-01,1993-01-01,FAC 6039,0.383,8.881
16,Miyako Jima Air Communication Facility,Air Force,1950-01-01,1973-02-15,FAC 6287,3.537,440.653
17,Kadena Residential Area,Air Force,1945-01-01,1977-11-30,FAC 6038,1.308,104.55
18,Kadena Ammunition Depot District,Air Force,1945-01-01,,FAC 6022,71.727,33307.158
19,Naha Port Facility,Army,1945-01-01,,FAC 6064,6.402,581.288
20,Torii Station,Army,1945-01-01,,FAC 6036,6.795,2138.393
21,Kadena Airbase,Army,1945-01-01,,FAC 6037,1.151,59.684
22,White Beach Oil Storage Facility,Army,1945-01-01,,FAC 6048,3.463,245.28
23,Zukeran Radio Station,Army,1945-01-01,1976-01-01,FAC 6045,1.999,153.137
24,Torii Station Radio Antenna,Army,1945-01-01,,FAC 6036,0.264,2.726
25,Gesaji Communication Site (incomplete),Army,1995-01-01,2015-02-27,FAC 6007,3.498,782.866
26,Tengan Communication Site,Army,1945-01-01,1983-01-01,FAC 6030,4.658,1221.632
27,Deragawa Communication Station,Army,1945-01-01,1974-01-01,FAC 6034,3.505,366.223
28,Machinato Service Office,Army,1945-01-01,1974-01-01,FAC 6055,0.216,1.928
29,Machinato Warehouse,Army,1945-01-01,1974-01-01,FAC 6054,0.223,2.276
30,Urasoe Warehouse,Army,1945-01-01,1975-01-01,FAC 6059,0.611,22.651
31,Machinato Purchasing and Contracting Office,Army,1945-01-01,1974-01-01,FAC 6058,0.427,10.945
32,Machinato Supply District Auxiliary Facility,Army,1968-01-01,1993-01-01,FAC 6057,0.21,2.458
33,Camp Mercy,Army,1945-01-01,1974-01-01,FAC 6053,2.527,306.247
34,Harborview Club,Army,1945-01-01,1972-01-01,FAC 6063,0.572,15.941
35,Yozadake Air Station,Army,1945-01-01,1976-01-01,FAC 6272,3.135,217.412
36,Camp McTureous,Army,1945-01-01,1957-01-01,FAC 6031,2.82,464.916
37,Chinen 2nd Site,Army,1945-01-01,1973-01-01,FAC 6269,3.212,324.436
38,Chinen 1st Site,Army,1945-01-01,1973-01-01,FAC 6268,1.436,131.393
39,Southern Ammunition Depot,Army,1945-01-01,1977-01-01,FAC 6075,3.02,231.886
40,Corps of Engineers Office,Army,1968-01-01,2002-01-01,FAC 6060,1.068,75.465
41,Awase Storage Area,Army,1945-01-01,1973-01-01,FAC 6049,1.281,80.332
42,Kashiji Army Annex,Army,1954-01-01,1976-01-01,FAC 6041,0.901,21.541
43,Army POL Depot Kinbu No. 2 Tank Farm,Army,1945-01-01,,FAC 6076,2.12,164.768
44,Army POL Depot Kinbu No. 1 Tank Farm,Army,1945-01-01,,FAC 6076,2.532,205.85
45,Army POL Depot Kuwae Tank Farm No. 1,Army,1945-01-01,,FAC 6076,2.245,161.704
46,Army POL Depot Kuwae Tank Farm No. 2,Army,1945-01-01,,FAC 6076,2.727,266.229
47,Army POL Depot Kinbu No. 3 Tank Farm,Army,1945-01-01,,FAC 6076,3.276,288.178
48,Army POL Depot Tengan Booster Station,Army,1945-01-01,,FAC 6076,,
